"","Comment","AuthorDisplayName","AuthorProfileImageUrl","AuthorChannelUrl","AuthorChannelID","ReplyCount","LikeCount","PublishedAt","UpdatedAt","CommentID","ParentID","VideoID"
"43","This songs was change my life ❤","@waseemcrocs650","https://yt3.ggpht.com/ytc/AIdro_lTlWqcTZWtqCYYBLxLfv5AddM181N_UBqShZjEl2jnHi4=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@waseemcrocs650","UCKjAgmrA5TTNMW6sYWRIPfg","0","0","2024-05-26T13:46:15Z","2024-05-26T13:46:15Z","UgzHtyc92wDUCuvJe3p4AaABAg",NA,"YykjpeuMNEk"
"44","This song is make in india 😊😊","@pavankalbande532","https://yt3.ggpht.com/aViBLkh-xHxz91DKelqCDfkWhK2Sfj2dopLsBGp46jFbLA7tMWm4A58G1GmP2mUjXerbkWfm=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@pavankalbande532","UC_8zOaEP5mmxzI2CS3LNUtg","0","0","2024-05-26T13:32:56Z","2024-05-26T13:32:56Z","UgwrzwGeSuED12Ca9BR4AaABAg",NA,"YykjpeuMNEk"
"45","Oh I forgot to tell you are the dead friends of azar my cousin and her daughters. Oh my dear enemies and your dearest friends. Oh oh I should have known theses facts,about 24 years ago too late to understand these facts.","@user-to5st9cf6b","https://yt3.ggpht.com/ytc/AIdro_loMtgaTXHtnNRxsNgCkMUvklgCaqPfO_VjZ0z1pCMbzyCm9aW9-ZZ0pW3eaItrOhyxRNg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@user-to5st9cf6b","UC2z_f_lJuDMcjR1Wpfv6HnQ","0","0","2024-05-26T13:17:52Z","2024-05-26T13:17:52Z","Ugzh0OZbW7r2yvnI3Fp4AaABAg",NA,"YykjpeuMNEk"
"46","You are the friends of neda my brothers wife and the dear friend of fariba my aunt. You just take their sides to make me infamous and darken my life I really should have known it too many years ago but from now on I won't trust any of you and fight you in any way to destroy your dirty plans.","@user-to5st9cf6b","https://yt3.ggpht.com/ytc/AIdro_loMtgaTXHtnNRxsNgCkMUvklgCaqPfO_VjZ0z1pCMbzyCm9aW9-ZZ0pW3eaItrOhyxRNg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@user-to5st9cf6b","UC2z_f_lJuDMcjR1Wpfv6HnQ","0","0","2024-05-26T13:16:05Z","2024-05-26T13:16:05Z","UgxRsYaJR1Umy6sbu2F4AaABAg",NA,"YykjpeuMNEk"
"47","Porque não tem "" feat Beyoncé""?","@deborah48465","https://yt3.ggpht.com/p5bsJ-2pg1W5RdWzc7LXQyNSTUPqEafcjwnReH2n-vF50na6Hhd_O-1Vy06YS3MPgNm2tMicVA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@deborah48465","UCfQptx6q4UYrL5UkJAni3ig","1","0","2024-05-26T13:06:25Z","2024-05-26T13:06:25Z","UgyLrLZeghTUWxJbHYF4AaABAg",NA,"YykjpeuMNEk"
"48","And tell Ali you rustic and bad smell boy. I just emptied my orbitals and fill his orbitals. I really pity myself that I fell in love with a rustic and donkey Turkish boy and emptied my orbitals.","@user-to5st9cf6b","https://yt3.ggpht.com/ytc/AIdro_loMtgaTXHtnNRxsNgCkMUvklgCaqPfO_VjZ0z1pCMbzyCm9aW9-ZZ0pW3eaItrOhyxRNg=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@user-to5st9cf6b","UC2z_f_lJuDMcjR1Wpfv6HnQ","0","0","2024-05-26T12:47:02Z","2024-05-26T12:47:02Z","Ugwt9uqKo0CIu6tWVMN4AaABAg",NA,"YykjpeuMNEk"
"49","Wow amazing ❤🇧🇩♥️🇦🇪","@noyonsam5689","https://yt3.ggpht.com/8wpD0Z2inu2B91kDHNjYIGDEDYPrzV9x1HEYv-Qs8z2W7_ReaHgQPzEWSxGThzqrq2Ax769N4w=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@noyonsam5689","UCKRMSzo1ikLIneLfXidubOA","0","0","2024-05-26T12:31:07Z","2024-05-26T12:31:07Z","UgyrWRVEoz0m4zMQHlF4AaABAg",NA,"YykjpeuMNEk"
"50","Happy Birthday
Me
😥","@Callmyname-ti9nz","https://yt3.ggpht.com/ytc/AIdro_ldQNCJoqb2ACiWS5tI0fa5OHsUN-DbrYZMr0kII7wBc0yO3d9TcCxQjkS5SREDdYZ3kA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@Callmyname-ti9nz","UCXeDPBmKy9mn8bmkTH-Vacg","0","0","2024-05-26T12:26:59Z","2024-05-26T12:26:59Z","Ugxzpra6ET1wsNowHJ54AaABAg",NA,"YykjpeuMNEk"
"51","o...ternyata ini tohhh lagunya","@agungpoenya9434","https://yt3.ggpht.com/ytc/AIdro_neO3DVwH4mWtxkP3mvFS0jw4JWnvzycxorzHAe-d8niOY=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@agungpoenya9434","UC0XrG13XMTkNky9BJ0Znm3Q","1","0","2024-05-26T11:54:39Z","2024-05-26T11:54:39Z","UgyJw1ipwNdLOnr-yON4AaABAg",NA,"YykjpeuMNEk"
"52","Who is watching in 2051..?","@adityaupadhaya3902","https://yt3.ggpht.com/ytc/AIdro_nK23S-OawLWDKo-qIIuEK51dsZl6Awtjllie1nmYluCiMZVMq-fSeMHKP5eDTJrgTaEA=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@adityaupadhaya3902","UCpjo5keKMZSHLis0CvTjPvw","0","0","2024-05-26T11:44:36Z","2024-05-26T11:44:36Z","Ugw1BPAgQT5CqRF4dTN4AaABAg",NA,"YykjpeuMNEk"
"53","Am I only one who searching for strangers 🤦🏻","@BHARGAVFRND","https://yt3.ggpht.com/pUkXGJQoVgJQhY63AM34wyRAgQfDCHG1V_Z_zjV7-CoRh5xlATmK1w0MXMcJ-jhCWE_aSyZoWQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/@BHARGAVFRND","UCkU9BbbRYkVliDstrSjaC4w","0","1","2024-05-26T10:56:37Z","2024-05-26T10:56:37Z","Ugwn96XTNo8k1OO654x4AaABAg",NA,"YykjpeuMNEk"
